last_gnt[0, 0, 0, 0] request_vec[0, 0, 0, 0] output_gnt[0, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 0, 0, 0] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 1, 0, 0] output_gnt[0, 1, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 1, 0, 0] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 0, 1, 0] output_gnt[0, 0, 1, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 0, 1, 0] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 1, 1, 0] output_gnt[0, 1, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 1, 1, 0] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 0, 0, 1] output_gnt[0, 0, 0, 1]
last_gnt[0, 0, 0, 0] request_vec[1, 0, 0, 1] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 1, 0, 1] output_gnt[0, 1, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 1, 0, 1] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 0, 1, 1] output_gnt[0, 0, 1, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 0, 1, 1] output_gnt[1, 0, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[0, 1, 1, 1] output_gnt[0, 1, 0, 0]
last_gnt[0, 0, 0, 0] request_vec[1, 1, 1, 1] output_gnt[1, 0, 0, 0]

last_gnt[1, 0, 0, 0] request_vec[0, 0, 0, 0] output_gnt[0, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 0, 0, 0] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 1, 0, 0] output_gnt[0, 1, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 1, 0, 0] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 0, 1, 0] output_gnt[0, 0, 1, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 0, 1, 0] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 1, 1, 0] output_gnt[0, 1, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 1, 1, 0] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 0, 0, 1] output_gnt[0, 0, 0, 1]
last_gnt[1, 0, 0, 0] request_vec[1, 0, 0, 1] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 1, 0, 1] output_gnt[0, 1, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 1, 0, 1] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 0, 1, 1] output_gnt[0, 0, 1, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 0, 1, 1] output_gnt[1, 0, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[0, 1, 1, 1] output_gnt[0, 1, 0, 0]
last_gnt[1, 0, 0, 0] request_vec[1, 1, 1, 1] output_gnt[1, 0, 0, 0]

last_gnt[0, 1, 0, 0] request_vec[0, 0, 0, 0] output_gnt[0, 0, 0, 0]
last_gnt[0, 1, 0, 0] request_vec[1, 0, 0, 0] output_gnt[1, 0, 0, 0]
last_gnt[0, 1, 0, 0] request_vec[0, 1, 0, 0] output_gnt[0, 1, 0, 0]
